;Seasonal cumulation of Z-scored aggregated data for eMODIS of Kenyan divisions and Ethiopian woredas
adminID, pixels,2001L,2001S,2002L,2002S,2003L,2003S,2004L,2004S,2005L,2005S,2006L,2006S,2007L,2007S,2008L,2008S,2009L,2009S,2010L,2010S,2011L,2011S,2012L,2012S,2013L,2013S
50,13192,-8.39898,-11.3723,7.22895,4.64655,17.1791,-0.366943,-3.98568,14.4023,3.58544,-15.4586,-7.21828,21.2830,15.7900,-1.02517,-0.417530,-4.64722,-23.3711,0.984184,16.5587,-12.0008,-16.9505,14.9945,12.4226,-1.73150,18.6655,4.15097
51,12012,-13.1744,-10.0290,1.43546,0.950822,-1.24932,-6.90503,-4.82109,7.71208,7.33652,-12.8109,-10.4196,23.9348,25.8540,-3.24009,-2.45145,1.38119,-10.4701,3.40318,17.7221,-7.83837,-9.76214,17.4070,13.5350,-0.691693,24.4464,-1.76965
52,7125,-21.7743,-13.1892,-1.92285,-0.508346,15.8018,-6.33668,-1.71895,12.4202,5.09671,-13.4116,-4.82190,23.5314,9.56658,-1.73801,-7.17826,0.290199,-16.4569,5.73751,31.9270,-9.13408,-8.51891,17.3801,10.1783,-4.79787,19.0229,3.53345
53,43786,-10.4259,-7.92948,3.18725,-3.18538,10.4293,-3.14209,-9.40718,9.29121,-2.10357,-13.5304,-3.45070,27.5229,26.2007,1.14261,0.910137,-0.776018,-9.41154,-1.60945,11.0485,-10.1933,-16.9769,14.8991,13.9647,1.24736,15.3467,-0.601425
60,6417,-1.23581,-9.70463,2.50432,4.29301,9.05613,-1.05750,-7.13570,4.28834,-9.95944,-14.2746,13.2056,26.1827,15.1657,2.65990,1.51675,3.49598,-7.53821,-4.46182,11.1030,-12.2839,-26.6824,9.40170,-1.70340,2.06339,16.5015,-6.24855
61,39480,6.06637,-8.02260,7.82879,5.92277,8.46503,-0.951873,3.34199,6.71170,-10.7207,-13.2589,7.44442,26.4150,12.1669,-2.31141,3.13702,-1.55991,-13.9755,-2.22269,-0.326591,-14.1514,-23.4278,8.38596,-6.63768,0.488849,32.8370,-0.453441
62,48756,7.34854,-4.22323,13.8456,8.96254,15.7621,-0.120560,0.0651155,1.55554,-5.84478,-13.4007,-3.51552,17.4309,5.38961,-1.34512,3.91936,4.32041,-12.8908,-0.854552,-0.373488,-15.1014,-23.7057,7.84185,-7.20297,-4.44587,24.5390,-0.108873
63,38715,5.02213,-7.06580,10.8260,8.20305,12.1294,-1.24611,-4.54624,3.01105,-9.23082,-12.9229,10.2732,25.2922,5.73682,-2.09336,0.0978813,0.737277,-12.3294,-2.33417,2.81390,-13.6997,-20.7930,11.1980,-5.25393,-1.06607,28.2909,-0.328076
64,56188,-7.33387,-7.02628,0.809982,0.426965,6.54573,-1.40192,2.57657,2.43925,3.08884,-9.58142,-2.13426,13.6202,18.4098,2.09898,-9.15036,3.22186,-18.7605,-2.66042,13.2991,-13.1972,-7.35098,13.8331,10.3269,6.88127,5.69319,4.71185
65,69682,-11.5037,-9.80128,9.57299,6.61381,23.6124,1.24386,3.71747,12.4332,3.74668,-12.9390,-6.17136,18.7087,14.2537,4.43073,1.68331,0.754082,-21.4128,-5.55127,4.86573,-15.3866,-22.3646,2.07795,-7.89036,-0.408468,-1.73698,-1.29910
