COUNTRY,PROVINCE,DISTRICT,DIVI_WOR,IBLI_UNIT,IBLI_ID,Aug/Sep2014,,,,,Jan/Feb2014,,,,,Aug/Sep2013,,,,,Jan/Feb2013,,,,,Aug/Sep2012,,,,,Jan/Feb2012,,,,
,,,,,,10rate,15rate,20rate,25rate,30rate,10rate,15rate,20rate,25rate,30rate,10rate,15rate,20rate,25rate,30rate,10rate,15rate,20rate,25rate,30rate,10rate,15rate,20rate,25rate,30rate,10rate,15rate,20rate,25rate,30rate
KENYA,NORTH EASTERN,GARISSA,HULUGHO,HULUGHO,26,0.06756,0.0928,0.10666,0.12523,0.1538,0.06831,0.09575,0.10681,0.12575,0.15214,0.06831,0.09575,0.10681,0.12575,0.15214,0.06894,0.09558,0.10669,0.12363,0.15292,0.06894,0.09558,0.10669,0.12363,0.15292,0.06941,0.09674,0.10851,0.12667,0.1534
KENYA,NORTH EASTERN,GARISSA,IJARA,IJARA,27,0.05029,0.06957,0.08433,0.10806,0.13799,0.05031,0.06982,0.08876,0.12497,0.13566,0.05031,0.06982,0.08876,0.12497,0.13566,0.05021,0.06635,0.10419,0.12313,0.13577,0.05021,0.06635,0.10419,0.12313,0.13577,0.04996,0.0676,0.10254,0.12635,0.13884
KENYA,NORTH EASTERN,GARISSA,MASALANI,MASALANI,28,0.05913,0.09299,0.10429,0.1194,0.13309,0.05898,0.09538,0.10646,0.1241,0.16339,0.05898,0.09538,0.10646,0.1241,0.16339,0.05858,0.09457,0.10873,0.12816,0.17006,0.05858,0.09457,0.10873,0.12816,0.17006,0.05782,0.09525,0.11109,0.12881,0.17543
KENYA,NORTH EASTERN,GARISSA,SANGAILU,SANGAILU,29,0.04144,0.05161,0.05666,0.09865,0.14457,0.04245,0.05315,0.06293,0.12012,0.13522,0.04245,0.05315,0.06293,0.12012,0.13522,0.04352,0.05147,0.08804,0.12102,0.1291,0.04352,0.05147,0.08804,0.12102,0.1291,0.04466,0.05291,0.08278,0.12125,0.13278
KENYA,EASTERN,ISIOLO,CENTRAL,CENTRAL ISIOLO,30,0.05272,0.05954,0.06915,0.07692,0.08448,0.05444,0.06349,0.07049,0.07777,0.08632,0.05444,0.06349,0.07049,0.07777,0.08632,0.0562,0.06183,0.07276,0.07701,0.08695,0.0562,0.06183,0.07276,0.07701,0.08695,0.05809,0.06335,0.0752,0.07948,0.08778
KENYA,EASTERN,ISIOLO,GARBA TULLA,GARBA TULLA,31,0.05806,0.06481,0.06848,0.07829,0.10338,0.06014,0.06708,0.07166,0.0848,0.0996,0.06014,0.06708,0.07166,0.0848,0.0996,0.06207,0.06644,0.0756,0.09186,0.1076,0.06207,0.06644,0.0756,0.09186,0.1076,0.06414,0.06857,0.07773,0.09204,0.1065
KENYA,EASTERN,ISIOLO,KINNA,KINNA,32,0.04492,0.06338,0.08079,0.09428,0.10973,0.04614,0.06699,0.08623,0.09576,0.10494,0.04614,0.06699,0.08623,0.09576,0.10494,0.04743,0.06359,0.08825,0.09391,0.10829,0.04743,0.06359,0.08825,0.09391,0.10829,0.0488,0.06384,0.09039,0.09709,0.11187
KENYA,EASTERN,ISIOLO,MERTI,MERTI,33,0.04325,0.08132,0.09558,0.10478,0.11703,0.0446,0.08239,0.09816,0.11177,0.12232,0.0446,0.08239,0.09816,0.11177,0.12232,0.05751,0.07835,0.08964,0.09747,0.11516,0.05751,0.07835,0.08964,0.09747,0.11516,0.05713,0.07946,0.09188,0.10034,0.11606
KENYA,EASTERN,ISIOLO,SERICHO,SERICHO,34,0.06879,0.07961,0.10999,0.13621,0.1448,0.06557,0.07891,0.10964,0.12274,0.132,0.06557,0.07891,0.10964,0.12274,0.132,0.06796,0.08619,0.1054,0.10988,0.12482,0.06796,0.08619,0.1054,0.10988,0.12482,0.07027,0.08716,0.10873,0.11356,0.12774
KENYA,EASTERN,ISIOLO,OLDONYIRO,OLDONYIRO,35,0.04976,0.05843,0.07271,0.08516,0.09592,0.05133,0.05911,0.07503,0.08757,0.09425,0.05133,0.05911,0.07503,0.08757,0.09425,0.053,0.05725,0.07751,0.0868,0.09629,0.053,0.05725,0.07751,0.0868,0.09629,0.05478,0.05912,0.08017,0.08834,0.09873
