adminID, pixels,2001L,2001S,2002L,2002S,2003L,2003S,2004L,2004S,2005L,2005S,2006L,2006S,2007L,2007S,2008L,2008S,2009L,2009S,2010L,2010S,2011L,2011S,2012L,2012S,2013L,2013S
31,53409,-4.89021,1.13132,17.3323,8.97484,17.0459,8.09931,5.79198,7.33288,5.91755,-13.9200,-4.38322,16.9389,3.71712,-2.62543,2.62329,-4.77907,-12.8008,-4.01288,-2.17037,-16.3900,-28.1836,1.56412,-15.2748,-5.35628,-4.45213,-8.17023
32,30475,-7.70629,-1.41965,19.6407,6.04616,13.2869,8.33457,3.35543,10.9677,12.7038,-12.0455,-0.146039,15.7730,4.05929,0.601876,3.30896,-2.64479,-16.3180,-7.06894,-2.76148,-17.5943,-29.4234,0.656154,-20.2206,-2.10164,-1.28855,-9.04720
33,175592,-3.98857,-1.96837,23.7806,8.30276,19.2550,0.593342,-5.37677,-0.200342,3.30486,-8.91728,-1.89323,22.5014,4.34204,-0.511153,1.23232,-3.88523,-18.1962,-7.43986,-2.18464,-12.5897,-20.2755,17.9509,-0.363826,-7.51286,8.60828,-2.86575
34,53031,-6.10985,0.814749,29.3445,6.10906,12.5309,3.14530,-6.97299,1.04479,-1.91433,-11.7688,-6.28763,25.0385,7.29731,-6.99364,5.53142,-0.860365,-17.7543,-6.14726,4.32679,-11.4972,-19.9920,13.5997,3.35414,-7.21081,-2.66255,-9.57914
35,16431,-10.4843,-9.32017,9.50561,8.87829,25.8240,12.6997,10.2445,7.97611,-2.31382,-14.5137,-13.2839,13.9952,16.2858,2.20351,-9.78467,-1.32576,-24.6235,-6.34521,7.69214,-19.2772,-9.06181,7.90931,4.82795,-0.718710,4.10223,-6.36067
36,62579,-12.3649,-7.68245,4.48801,-1.02216,12.0831,-2.22896,0.637574,10.8812,2.99679,-13.3417,-8.64637,25.0816,17.3276,0.237919,0.865228,-3.01071,-14.6021,-0.173291,16.1904,-11.0108,-18.9753,17.1430,11.0128,1.65695,15.0971,2.21201
37,19860,-10.0867,-6.49214,0.508671,-1.35311,9.14018,2.43497,4.49393,9.83608,7.15499,-10.4439,-3.73012,23.9269,13.7258,-0.471696,0.910554,-2.44782,-8.87485,-2.79079,8.99362,-12.4855,-22.2361,12.2638,16.0131,-0.874247,17.5268,1.10898
38,1446,-19.2451,-14.7621,-1.24023,3.53078,7.40452,-9.17250,-4.96404,11.5555,6.47064,-13.6513,-1.88401,18.8183,0.370302,-2.16774,-7.83404,-2.85087,-13.9337,8.67736,38.9366,-3.46373,-4.08097,23.3552,19.4141,-5.80759,14.4675,3.46165
39,8763,-13.3867,-7.97533,0.287259,-1.45912,-3.58910,-2.64593,-5.10463,11.4605,6.69534,-11.6440,-2.31124,27.5793,20.0245,-0.0940309,5.85317,-7.11791,-15.6968,0.290245,21.5670,-12.6686,-14.3387,19.6053,9.59867,10.0070,31.3845,-1.37974
40,26360,-19.9956,-9.66623,-1.90592,-2.55478,5.47013,-6.16047,-0.352515,11.0863,1.59065,-14.7417,-7.02136,23.5191,20.9875,-4.71071,-2.34156,3.83003,-11.2091,2.93925,29.7911,-5.96969,-15.0135,17.3695,5.53408,-2.07727,26.2589,1.77685
