adminID, pixels,1981S,1982L,1982S,1983L,1983S,1984L,1984S,1985L,1985S,1986L,1986S,1987L,1987S,1988L,1988S,1989L,1989S,1990L,1990S,1991L,1991S,1992L,1992S,1993L,1993S,1994L,1994S,1995L,1995S,1996L,1996S,1997L,1997S,1998L,1998S,1999L,1999S,2000L,2000S,2001L,2001S,2002L,2002S,2003L,2003S,2004L,2004S,2005L,2005S,2006L,2006S,2007L,2007S,2008L,2008S,2009L,2009S,2010L,2010S,2011L
120,8959,7.45435,12.5346,26.7940,18.0326,4.83517,1.67004,21.0230,17.7115,6.44529,21.6807,11.5830,20.4779,6.92536,24.3853,7.51498,21.9985,11.1032,20.3126,4.72521,5.34315,2.26118,2.84624,5.88317,13.8115,1.46549,2.54284,11.4252,2.79743,2.71286,1.69115,3.25474,16.7558,32.9409,31.7651,10.0116,8.01589,8.61052,-0.726273,2.49719,4.19559,-0.151537,7.44922,4.05216,13.4044,1.66279,-2.76853,-0.625705,-2.13669,-3.83320,-3.10251,1.32911,-1.43627,-3.06992,-2.82953,2.67953,-9.18108,-1.04814,2.77693,-8.90962,-6.37158
201,3177,-5.47023,-6.26370,4.91980,-7.16475,-6.91321,-14.9438,-5.83798,0.491550,-9.59871,8.53826,3.34477,13.8018,-4.93971,-0.252363,-4.33208,2.94717,4.02285,1.42010,-2.48010,-9.16986,-6.56800,-9.61873,-1.91110,1.67934,-10.0260,-0.887612,4.85970,-2.63976,-6.03117,1.12538,-7.20698,0.412348,18.8172,12.9326,-6.13076,-1.68763,-4.72172,-9.23160,-4.11504,-1.05126,-4.46437,0.734447,6.37836,7.66754,0.142482,4.19043,2.31126,-3.78857,-3.00397,3.62596,-0.830191,4.61553,-10.6123,-14.1063,3.80561,0.357195,1.75181,9.04537,-3.07086,-11.2903
202,4840,-5.05365,1.76653,6.38471,-2.57376,-6.26527,-9.44603,-2.36666,7.36955,-5.47873,15.9530,4.17193,10.7411,-4.08456,5.67263,-3.97783,0.492767,1.36913,7.80008,0.853556,-6.05650,-4.38571,-6.20805,-0.909096,5.41632,-5.49431,1.38618,6.23472,1.78251,-5.40187,1.97685,-4.20446,8.77316,22.9734,24.9162,-1.88504,1.79789,-2.45624,-8.21058,-4.81500,7.39469,-3.24054,-0.942066,5.19817,9.86737,1.06016,-1.50361,1.82969,-3.15693,-8.18466,1.71682,2.51689,7.10318,-6.81198,-6.96754,2.99125,-7.25986,1.84661,8.36609,-6.45802,-14.6181
203,3010,-6.57588,-8.07143,4.97554,-9.84046,-6.11320,-13.0447,-3.47146,-3.23182,-9.73751,5.32456,8.97099,12.7906,-2.65369,2.46982,3.21855,0.275712,11.6654,-9.77889,-4.71626,-15.7827,-7.85066,-11.5806,1.55903,-1.50410,-9.20720,-3.27305,1.98294,-2.77259,-6.02956,-3.04313,-6.74021,-7.07871,20.5226,4.50471,-6.32227,-8.33202,-7.12879,-17.8250,-1.35197,-4.77435,-6.00769,-1.18353,3.86829,0.666934,1.20974,6.57757,3.24386,3.17680,-1.75667,-0.651132,3.17100,3.08981,-9.85058,-15.2039,6.66632,1.97907,0.177464,8.34373,-3.54763,-2.02100
204,3349,-3.93542,-2.02393,6.84639,-12.5806,-0.580813,-15.7532,-3.27470,-0.768477,-11.9158,8.26855,3.68324,10.2182,0.491241,1.21575,4.59168,2.89199,13.9441,-0.931615,-1.47096,-13.6881,-5.53393,-7.70711,4.44907,9.49018,-6.07603,1.12525,3.22973,-1.41806,0.121665,-2.89856,-6.45417,-5.30930,26.0360,5.37628,-3.72631,-12.1761,-5.25847,-12.0996,4.14797,-1.67471,-8.59203,-2.87753,5.56290,0.450598,-1.01054,7.12510,6.70334,3.64565,0.283711,-0.588735,5.00097,-0.960946,-8.65369,-13.4783,5.40713,0.209123,-1.59023,10.2762,-7.61934,-2.12647
205,140,-2.18205,-1.02132,2.88540,-9.12497,-10.6734,-9.82982,-2.75252,-1.76451,-18.3770,-1.56018,0.161032,5.38788,-10.5664,-2.91354,4.65116,1.34412,8.90914,3.99462,-1.56256,-11.8044,-6.76933,-3.81720,1.42731,5.90443,-6.96427,-2.17412,-0.344418,-0.580701,-5.35335,-3.43095,-10.4888,-7.20962,17.8753,0.531904,-10.3752,-11.0507,-7.37889,-18.1297,0.999383,-5.97467,-9.75579,-3.45466,1.79526,-2.76060,-0.669795,15.0543,10.4487,3.20379,-3.02421,-1.31299,2.79155,5.44082,-4.71148,-16.0914,6.23029,2.13009,0.133020,7.18142,-5.08215,-3.41615
206,1938,0.221493,11.0719,13.0515,5.19873,-1.26664,-14.2279,-5.46015,19.4388,-1.48348,17.9566,5.78565,11.0096,-3.20745,9.35322,0.656849,13.0990,6.26982,15.8492,4.95657,-3.89266,-3.94639,-5.59041,-1.47876,8.98445,-2.76444,-1.69561,4.16978,6.15238,-3.12897,6.44026,-4.99663,4.44683,27.1784,28.5592,0.729993,9.01273,-0.378144,-8.67194,-4.51298,5.18844,-4.63373,1.94266,3.63855,11.8182,5.68064,1.25426,9.44852,-2.24632,-8.67057,2.26972,9.94719,2.82344,-4.73241,-3.42359,0.622185,-0.316808,-2.47563,4.63277,-8.79270,-23.9428
207,346,-3.08358,12.2767,10.7748,9.18646,-1.31705,-21.6983,-4.45510,18.2238,1.35398,18.4126,2.98226,13.1912,-3.20890,9.97485,-2.06264,9.59117,9.44380,4.57516,2.82231,-4.22738,-9.37917,-3.57703,-0.810159,7.69295,-2.57477,-4.81269,-0.601199,6.97838,-4.83056,4.55091,-6.84686,1.76212,16.2963,21.5750,0.192083,10.3107,-0.710334,-13.1650,-8.82139,6.43051,-7.95168,2.77669,3.68908,8.93351,2.76833,-0.267093,9.67037,3.60475,-11.7333,-1.12898,9.86011,9.13422,2.44622,0.744927,6.92737,-5.64138,0.532988,-0.195496,-11.5417,-24.3917
208,2742,-2.80807,4.46935,16.1128,-3.77583,-9.25339,-22.1635,-13.3628,14.7494,-4.84524,13.2973,-1.17253,11.5841,-1.44753,0.471228,-3.56344,8.02812,7.96373,6.09444,-5.16017,-10.2864,-8.00082,-12.4530,-3.23420,0.837807,-6.26770,-1.67770,2.28417,5.36933,-5.16656,1.46368,-4.88094,1.33318,33.0457,14.1844,-6.12000,-1.49595,-2.57827,-8.02918,-9.28685,-0.375599,-0.200913,-0.866861,6.01158,6.41763,-0.670559,8.82965,3.12772,-2.62532,-8.01668,1.15494,7.46277,3.01192,-3.19898,-11.2216,-1.08701,0.631215,-2.85659,10.0192,-2.03724,-14.9752
209,3191,-3.98474,10.8215,13.4484,1.42870,-7.64587,-14.7604,-12.7167,19.2470,-4.24221,21.0509,3.09151,13.7572,-2.18589,10.2842,-0.258257,13.8378,6.76043,6.55392,-1.22815,-11.1684,-7.87380,-10.7402,-4.13088,10.6224,-8.52605,0.494899,1.12933,6.22830,-5.00509,10.9003,-3.43717,9.40338,31.2653,28.7282,-5.65542,2.52752,-4.82982,-8.38157,-2.29166,3.84710,-4.62584,0.910461,6.96629,7.53581,2.47518,9.13008,9.33702,-4.05089,-4.53920,7.36449,5.25829,-2.71579,-7.84951,-12.3397,0.535660,1.71995,-4.48283,5.41796,-4.92149,-16.8195
