;percentile of cummulated Z-scored aggregated data for eMODIS of Kenyan divisions
IBLI_UNIT_ID ,2001L,2001S,2002L,2002S,2003L,2003S,2004L,2004S,2005L,2005S,2006L,2006S,2007L,2007S,2008L,2008S,2009L,2009S,2010L,2010S,2011L,2011S,2012L,2012S,2013L,2013S,2014L
96,2,4,5,4,5,5,5,5,3,2,3,5,4,4,5,3,1,4,5,1,1,5,3,2,4,2,2
97,4,2,5,5,5,4,4,5,3,1,5,5,5,3,4,3,2,2,4,1,1,5,4,3,5,2,3
98,2,2,5,4,5,3,3,5,3,1,4,5,4,4,5,3,1,4,5,2,1,5,5,4,5,2,2
99,2,2,5,5,5,4,4,5,3,1,3,5,5,4,4,3,2,4,5,1,1,5,4,3,5,2,2
100,5,3,5,4,5,2,2,3,1,2,4,5,5,4,5,3,1,4,4,2,1,5,5,3,5,4,3
101,4,3,5,4,5,3,2,4,3,2,2,5,5,5,5,4,1,4,5,2,1,5,4,1,5,3,2
102,3,2,5,4,5,3,4,5,2,1,2,5,5,4,4,4,2,3,5,1,1,5,5,4,5,3,4
103,3,3,5,4,4,2,2,4,1,1,5,5,5,4,5,4,2,3,5,2,1,5,5,4,5,3,2
104,2,4,5,4,5,4,4,5,2,2,3,5,5,4,4,3,1,5,5,1,1,5,3,2,5,3,4
105,3,2,5,3,5,3,2,4,1,1,4,5,5,4,5,4,2,4,5,2,1,5,5,4,5,3,3
107,3,3,5,5,5,4,4,5,4,2,3,5,5,4,4,3,1,5,5,1,1,5,2,2,4,2,2
108,2,3,5,4,5,4,4,4,3,2,2,5,5,3,5,4,1,4,5,2,1,5,5,1,5,3,2
111,2,2,5,3,5,3,5,3,4,1,4,5,5,4,2,5,1,3,4,2,1,5,5,4,5,4,3
112,3,2,5,4,5,2,5,4,4,2,3,5,5,4,3,4,1,3,2,1,1,5,5,4,5,5,4
113,5,4,5,5,5,3,4,4,2,1,2,5,5,4,2,3,1,3,4,2,1,5,4,3,5,5,5
114,3,2,3,4,5,3,4,4,2,1,5,5,5,5,4,5,1,4,5,2,1,5,5,3,4,2,2
115,4,2,5,4,5,3,4,4,2,2,4,5,5,4,2,5,1,3,5,1,1,5,5,3,5,3,2
116,5,3,4,5,5,3,5,4,2,1,3,5,5,4,2,4,1,2,5,2,1,5,5,3,4,4,2
117,5,2,4,4,5,4,3,5,2,1,4,5,5,2,3,5,1,3,5,2,1,5,5,4,4,3,2
118,5,4,5,5,5,3,4,3,2,1,3,5,4,3,4,5,1,2,4,2,1,5,4,2,5,5,5
119,2,2,4,5,5,4,4,5,3,1,2,5,5,4,3,5,1,5,5,2,1,5,3,3,4,4,4
120,2,2,5,4,5,4,4,5,3,1,2,5,5,4,3,5,1,4,5,2,1,5,4,3,5,3,2
201,3,1,3,5,5,5,4,5,3,2,5,5,5,2,1,4,3,4,5,2,1,5,2,4,4,4,2
202,5,2,3,5,5,5,3,5,3,1,4,5,5,2,2,4,1,4,5,2,1,5,3,4,4,4,2
203,2,2,3,5,5,5,4,4,5,3,4,5,5,2,1,5,2,3,5,1,1,5,4,3,4,4,1
204,3,1,4,5,5,4,5,5,5,3,4,5,3,2,1,5,2,3,5,2,1,5,4,4,2,4,2
205,1,1,4,5,5,4,5,5,5,3,2,5,5,2,1,4,3,4,5,2,2,4,3,4,3,5,2
206,4,2,3,5,5,5,4,5,4,1,3,5,5,2,2,4,2,3,4,1,1,5,3,5,5,4,4
207,4,2,2,5,5,5,3,5,5,1,2,5,5,3,3,4,2,4,4,1,1,5,3,4,5,4,4
208,4,3,2,5,5,4,4,5,4,1,3,5,4,2,1,3,2,2,5,3,1,5,4,5,5,5,4
209,4,1,3,5,5,4,5,5,4,2,4,5,3,2,1,3,3,2,5,2,1,5,4,5,5,4,4
210,2,1,1,5,5,4,3,4,5,2,4,5,5,3,2,5,3,4,5,2,1,5,5,4,3,4,3
211,2,3,3,5,5,4,2,4,5,1,5,5,5,3,2,4,1,3,5,2,1,5,5,4,4,4,3
212,3,3,3,5,5,4,3,4,5,1,5,5,5,4,2,4,1,2,5,2,1,5,5,4,2,4,2
213,3,2,4,5,5,4,5,5,5,2,4,5,4,2,1,4,1,3,5,2,1,5,3,3,5,4,2
214,4,3,3,5,5,5,4,5,5,1,4,5,4,2,1,4,2,3,5,2,1,5,2,4,5,3,2
215,5,2,4,5,5,4,2,5,2,1,4,4,4,3,3,5,1,3,4,2,1,5,5,5,5,3,3
216,3,2,2,5,5,5,4,5,4,1,4,5,5,3,5,4,3,3,4,1,1,5,2,4,5,2,4
217,3,2,2,5,5,5,5,5,3,1,4,5,4,2,3,4,4,2,5,1,1,5,3,4,5,4,4
218,4,1,4,5,3,2,3,5,5,5,4,5,2,2,4,4,3,3,5,1,1,5,5,4,2,5,5
219,3,1,3,5,4,3,4,5,5,5,4,5,2,2,2,4,2,4,5,1,3,5,5,4,1,5,4
220,4,1,3,5,5,4,3,5,5,4,5,5,3,2,2,4,2,3,5,1,1,5,4,4,2,5,2
221,4,3,5,5,5,4,4,5,5,3,4,5,4,2,1,5,2,1,5,2,2,5,3,3,1,4,2
222,2,1,4,5,5,4,4,5,5,3,3,5,3,2,1,4,2,3,5,2,1,5,5,4,4,5,2
223,2,1,4,5,5,5,4,5,5,2,3,5,4,2,1,4,3,3,5,2,1,5,4,4,3,5,2
224,3,1,4,5,5,4,4,5,4,2,3,5,3,2,1,4,2,2,5,3,1,5,5,4,5,5,3
