;Aggregated and intercalibrated zCumNDVI data for eMODIS: extended by GIMMS for 1981S*-2000S*  of Kenyan divisions and Ethiopian clustered kebeles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adminID, pixels, L+S_R2cv, L+S_R2cv_within, L+S_gain, L+S_offset, 1981S*, 1982L*, 1982S*, 1983L*, 1983S*, 1984L*, 1984S*, 1985L*, 1985S*, 1986L*, 1986S*, 1987L*, 1987S*, 1988L*, 1988S*, 1989L*, 1989S*, 1990L*, 1990S*, 1991L*, 1991S*, 1992L*, 1992S*, 1993L*, 1993S*, 1994L*, 1994S*, 1995L*, 1995S*, 1996L*, 1996S*, 1997L*, 1997S*, 1998L*, 1998S*, 1999L*, 1999S*, 2000L*, 2000S*, 2001L, 2001S, 2002L, 2002S, 2003L, 2003S, 2004L, 2004S, 2005L, 2005S, 2006L, 2006S, 2007L, 2007S, 2008L, 2008S, 2009L, 2009S, 2010L, 2010S, 2011L, 2011S, 2012L, 2012S, 2013L, 2013S
21,49087,0.725734,0.769151,1.36178,0.446512,-9.01712,7.34846,2.92002,3.00385,-4.6694,-7.37761,7.70347,20.9925,-6.63713,14.9515,3.18335,-2.14479,-8.5088,9.68009,-4.18313,-0.00295985,6.58568,25.1749,2.37969,2.5296,-6.20287,-2.68131,3.44811,0.338264,-1.19657,0.597156,4.36324,13.1282,-2.48585,-5.04446,-3.91275,3.16524,29.6499,51.3884,2.92582,2.73329,12.1835,3.19742,-6.85445,-8.77676,-0.047227,11.5568,0.338798,14.216,3.94504,0.627302,2.22931,-5.43185,-13.9766,-14.3224,22.1262,15.5571,4.50793,2.85623,-8.03244,-13.2008,1.99602,16.1549,-14.7953,-19.2367,11.2764,-5.25345,-6.35197,-1.54163,-11.7916
22,45171,0.834624,0.85989,1.34506,0.36053,-1.62065,4.28013,6.98266,23.038,0.353909,-4.61146,0.44329,20.7945,-9.1367,9.7277,-4.0986,15.268,-7.33406,10.8495,-5.07049,-0.549267,4.25522,25.8088,3.23063,6.29816,-11.0754,-9.66077,2.41547,4.13169,-4.00198,8.30487,2.62413,12.224,0.341178,-6.90195,-8.71599,9.40604,25.1575,40.4511,1.65497,16.691,3.13634,-1.3582,-0.883445,-4.52437,-3.08954,14.3898,7.64138,5.93242,10.606,-5.94873,4.14869,4.37535,-14.9238,-12.7286,16.3557,13.6338,8.2834,6.97954,-7.45127,-8.27476,1.07166,10.7391,-18.414,-24.5735,4.25134,-7.48374,-5.92067,-1.56126,-7.36073
23,28869,0.829673,0.857006,1.33018,0.443719,-3.66759,6.26162,6.56422,-7.15629,-0.508138,-11.575,16.0192,0.201409,-4.89592,3.0561,13.2676,-5.33639,-2.88576,-1.74971,5.24971,-5.4012,4.04884,6.78088,7.94313,-0.862889,0.0898645,-5.90554,16.2669,0.336637,3.30982,-9.27259,11.0388,5.67077,-0.395363,-7.8393,-0.353036,22.2568,51.9615,45.445,3.40239,2.26535,10.3493,-6.55803,-2.15552,2.55035,3.32995,27.5817,10.7131,18.6082,4.10671,-6.81996,-3.85171,-11.204,-14.5653,-10.5818,22.1918,1.68134,-7.79013,4.78033,-4.33049,-16.6316,3.29188,10.5394,-13.9648,-20.5041,8.8429,0.407633,-5.52138,3.07802,-8.47674
24,14215,0.748058,0.783407,1.26827,0.477615,-7.81955,15.8329,5.82151,3.48818,-8.37326,1.55363,8.87056,17.3791,-9.4213,12.5059,5.10837,10.535,-9.38589,-2.80246,-0.0260125,9.9094,7.58286,30.3474,15.3632,12.416,-2.38589,12.5792,18.5475,23.8039,2.94884,9.67464,16.9745,11.7255,0.684857,4.78192,-0.692663,21.9777,31.7752,46.2929,8.31901,10.028,8.05879,2.56228,-7.00935,-3.64867,4.74004,11.9126,7.40526,19.2255,10.5686,4.29978,9.02986,-5.36688,-16.1337,-8.78633,12.6487,6.93696,1.25128,1.0641,-5.39909,-10.9147,-5.04168,13.5568,-17.5801,-28.2792,2.44474,-6.85362,-4.05141,3.5752,-4.97703
25,123623,0.871682,0.891579,1.37455,0.359192,-8.01851,-2.72655,0.736414,4.81704,-7.44201,-7.6829,-1.58521,3.32592,-12.6507,0.990773,-3.76002,9.92731,-9.3797,1.53588,-7.2634,-2.83936,3.10057,17.3286,-1.78626,-2.81102,-11.8865,-7.94108,0.224059,-3.22878,-3.91988,-0.84991,0.443061,7.30901,-3.04525,-8.45966,-7.99942,-1.2866,22.3881,40.5253,2.32705,12.5816,7.56313,4.72343,-1.48684,-1.21353,-2.08672,13.5518,6.87612,7.19721,4.1425,-5.84633,0.165727,-2.96471,-15.0434,-12.4651,16.8864,11.8522,9.95407,7.77581,-5.23699,-10.1073,-0.681439,11.5834,-15.7691,-19.3635,7.83404,-9.63236,-4.19485,-0.140329,-8.00267
26,70471,0.915937,0.927455,1.42644,0.220412,-16.2302,-5.92984,-2.6885,6.67361,-13.4898,-6.02049,-2.23625,-0.577938,-19.3954,-4.51484,-6.99967,4.30143,-15.5245,2.41878,-12.0938,-8.33415,-3.47582,3.40089,-1.4371,-8.81179,-18.7545,-15.2719,-6.7057,-4.35228,-10.4387,-9.53933,-0.108117,-2.76807,-11.643,-9.24991,-17.2181,-0.486343,13.0658,19.2438,-7.50668,12.9591,2.93938,-3.73897,4.73601,10.8656,-2.49294,8.99069,9.03657,2.08104,-1.58611,-1.25802,-0.572942,-0.150832,-8.63225,-3.65688,17.5599,9.42591,8.50653,3.61469,-9.22466,-11.2362,0.15276,4.05184,-13.4528,-22.7279,4.33542,-20.488,-8.66632,-8.5891,-9.10219
27,32007,0.818909,0.844564,1.25845,0.234519,-13.805,-4.70296,-3.839,4.97354,-15.5784,-13.8273,-2.05563,-3.84601,-15.0604,-0.877383,-3.97569,7.59143,-11.603,6.3736,-6.70762,-14.5117,-3.21492,-3.59522,-2.09762,-10.0078,-18.1607,-19.6354,-3.94596,-5.26747,-8.18551,-11.3017,-4.26419,-2.356,-9.09187,-11.6158,-13.0894,-2.19891,14.7392,18.665,-9.53562,12.896,4.22956,1.25041,5.1457,6.48286,-2.62628,5.13051,7.71093,-3.25769,-3.27877,2.91502,-0.371664,1.58784,-8.66332,-5.87718,15.4041,9.45523,8.22661,8.2806,-6.94772,-9.75113,1.79483,3.55517,-13.6518,-18.5212,0.816983,-29.6507,-11.7982,-7.81215,-11.863
28,20951,0.864604,0.883755,1.42337,0.343732,-7.65515,-8.16408,1.06864,8.88058,-14.7249,-27.2267,-6.63065,-3.39885,-10.7272,-7.75823,-6.7747,12.5497,-10.145,8.28103,-3.88708,-19.2171,-0.499949,0.491407,-1.58028,-9.66079,-15.8798,-15.8592,-1.46978,-1.16022,-9.2578,-17.522,-5.35529,-5.5653,-6.4064,-10.7999,-11.2531,-1.86033,17.1001,24.7947,-6.33442,17.5647,4.24083,3.05206,6.90444,2.77665,-0.86914,6.72223,9.71433,1.84973,-2.65178,7.46885,-1.55025,-3.79669,-13.1252,-5.2951,14.8209,11.919,9.97439,9.86059,-6.33209,-9.98448,2.7923,-0.231231,-14.4096,-21.2895,1.27234,-25.241,-9.52299,-6.71475,-9.49439
29,31210,0.830711,0.856156,1.2587,0.200867,-8.74023,-4.31214,-0.866572,4.07583,-11.5663,-9.50132,-2.4006,-0.45699,-13.0076,-2.05312,-3.0749,4.97668,-13.5794,2.60048,-5.99705,-12.4404,0.0276648,-4.8196,0.33799,-9.535,-16.8178,-19.6039,-2.3557,-6.15712,-8.34992,-11.4751,0.0343762,-3.27617,-8.33764,-12.1927,-12.2876,0.146157,13.3499,15.8022,-4.33855,11.0593,4.17992,0.45522,2.53588,9.6733,-1.54342,9.43996,6.67215,0.973504,-0.743032,0.00229669,-1.45496,-0.0291458,-8.14592,-3.95173,16.6912,7.49773,10.2029,4.49697,-9.46123,-16.0603,-0.924642,5.97942,-12.4735,-18.022,3.05828,-26.6203,-12.2166,-8.5416,-12.0617
30,24030,0.779423,0.814974,1.4198,0.276883,-5.77947,-2.512,14.4312,4.80546,-4.54506,-13.0517,6.5192,4.65477,-4.37969,1.77791,-1.60885,-4.89268,-4.39135,1.94268,-2.61951,-0.453597,5.8145,18.5105,14.3355,-1.67665,-3.16264,-5.50287,13.6096,10.2722,1.00772,3.6693,18.3497,2.06817,-2.41737,-3.52131,-4.62126,27.1046,35.3525,45.2385,-0.143237,5.41691,2.21108,-8.45699,-5.4575,-10.1455,-7.07293,11.7034,10.5573,25.1256,5.63798,8.17291,11.0749,0.44727,-13.6906,-2.28936,18.5207,12.3487,1.297,-3.94444,-0.844111,-22.4787,-6.67061,1.79519,-18.5057,-20.7351,0.638281,-14.202,-1.21485,-1.82741,-6.74233
